variable,year,input_filename,input_exists,input_size,expected_size,days,grid_dimensions,valid_count,missing_count,min,max,mean,validation_status,processing_status,output_path,error_message,processing_timestamp
rainfall,2000,ind2000_rfp25.grd,True,25495560,25495560,366,129x135,1816824,4557066,0.0,569.6158447265625,2.7512857913970947,PASS,SUCCESS,data\processed\rainfall\2000.nc,,2026-08-31T09:44:03.696159Z
max_temp,2000,Maxtemp_MaxT_2000.GRD,True,1406904,1406904,366,31x31,128389,223337,0.6200000047683716,45.0,30.669422149658203,PASS,SUCCESS,data\processed\max_temperature\2000.nc,,2026-08-31T09:44:03.964372Z
min_temp,2000,Mintemp_MinT_2000.GRD,True,1406904,1406904,366,31x31,128389,223337,-9.109999656677246,30.799999237060547,18.65035629272461,PASS,SUCCESS,data\processed\min_temperature\2000.nc,,2026-08-31T09:44:04.040154Z
rainfall,2001,ind2001_rfp25.grd,True,25425900,25425900,365,129x135,1811860,4544615,0.0,822.0632934570312,2.911745548248291,PASS,SUCCESS,data\processed\rainfall\2001.nc,,2026-08-31T09:44:04.097554Z
max_temp,2001,Maxtemp_MaxT_2001.GRD,True,1403060,1403060,365,31x31,128749,222016,1.7000000476837158,46.189998626708984,30.77044105529785,PASS,SUCCESS,data\processed\max_temperature\2001.nc,,2026-08-31T09:44:04.371577Z
min_temp,2001,Mintemp_MinT_2001.GRD,True,1403060,1403060,365,31x31,128749,222016,-8.369999885559082,31.739999771118164,18.882356643676758,PASS,SUCCESS,data\processed\min_temperature\2001.nc,,2026-08-31T09:44:04.420262Z
rainfall,2002,ind2002_rfp25.grd,True,25425900,25425900,365,129x135,1811860,4544615,0.0,594.8735961914062,2.5575122833251953,PASS,SUCCESS,data\processed\rainfall\2002.nc,,2026-08-31T09:44:04.457201Z
max_temp,2002,Maxtemp_MaxT_2002.GRD,True,1403060,1403060,365,31x31,128416,222349,-0.07999999821186066,46.31999969482422,31.12458038330078,PASS,SUCCESS,data\processed\max_temperature\2002.nc,,2026-08-31T09:44:04.683596Z
min_temp,2002,Mintemp_MinT_2002.GRD,True,1403060,1403060,365,31x31,128416,222349,-7.690000057220459,32.83000183105469,19.141271591186523,PASS,SUCCESS,data\processed\min_temperature\2002.nc,,2026-08-31T09:44:04.750727Z
rainfall,2003,ind2003_rfp25.grd,True,25425900,25425900,365,129x135,1811860,4544615,0.0,549.5249633789062,3.19094181060791,PASS,SUCCESS,data\processed\rainfall\2003.nc,,2026-08-31T09:44:04.783667Z
max_temp,2003,Maxtemp_MaxT_2003.GRD,True,1403060,1403060,365,31x31,130443,220322,2.109999895095825,46.900001525878906,30.57279396057129,PASS,SUCCESS,data\processed\max_temperature\2003.nc,,2026-08-31T09:44:05.066510Z
min_temp,2003,Mintemp_MinT_2003.GRD,True,1403060,1403060,365,31x31,130443,220322,-7.28000020980835,32.88999938964844,19.01528549194336,PASS,SUCCESS,data\processed\min_temperature\2003.nc,,2026-08-31T09:44:05.103365Z
rainfall,2004,ind2004_rfp25.grd,True,25495560,25495560,366,129x135,1816824,4557066,0.0,644.7525024414062,2.863980770111084,PASS,SUCCESS,data\processed\rainfall\2004.nc,,2026-08-31T09:44:05.150997Z
max_temp,2004,Maxtemp_MaxT_2004.GRD,True,1406904,1406904,366,31x31,129273,222453,0.2800000011920929,45.70000076293945,30.799238204956055,PASS,SUCCESS,data\processed\max_temperature\2004.nc,,2026-08-31T09:44:05.457374Z
min_temp,2004,Mintemp_MinT_2004.GRD,True,1406904,1406904,366,31x31,129273,222453,-6.460000038146973,32.380001068115234,18.77703094482422,PASS,SUCCESS,data\processed\min_temperature\2004.nc,,2026-08-31T09:44:05.501795Z
rainfall,2005,ind2005_rfp25.grd,True,25425900,25425900,365,129x135,1811860,4544615,0.0,732.4573974609375,3.3169033527374268,PASS,SUCCESS,data\processed\rainfall\2005.nc,,2026-08-31T09:44:05.544124Z
max_temp,2005,Maxtemp_MaxT_2005.GRD,True,1403060,1403060,365,31x31,128990,221775,0.2199999988079071,47.029998779296875,30.633588790893555,PASS,SUCCESS,data\processed\max_temperature\2005.nc,,2026-08-31T09:44:05.844585Z
min_temp,2005,Mintemp_MinT_2005.GRD,True,1403060,1403060,365,31x31,128990,221775,-6.829999923706055,31.610000610351562,18.629474639892578,PASS,SUCCESS,data\processed\min_temperature\2005.nc,,2026-08-31T09:44:05.894246Z
rainfall,2006,ind2006_rfp25.grd,True,25425900,25425900,365,129x135,1811860,4544615,0.0,631.3129272460938,3.148742914199829,PASS,SUCCESS,data\processed\rainfall\2006.nc,,2026-08-31T09:44:05.933619Z
max_temp,2006,Maxtemp_MaxT_2006.GRD,True,1403060,1403060,365,31x31,131334,219431,0.5299999713897705,45.709999084472656,30.908676147460938,PASS,SUCCESS,data\processed\max_temperature\2006.nc,,2026-08-31T09:44:06.202829Z
min_temp,2006,Mintemp_MinT_2006.GRD,True,1403060,1403060,365,31x31,131334,219431,-6.139999866485596,31.420000076293945,19.016725540161133,PASS,SUCCESS,data\processed\min_temperature\2006.nc,,2026-08-31T09:44:06.260609Z
rainfall,2007,ind2007_rfp25.grd,True,25425900,25425900,365,129x135,1811860,4544615,0.0,550.4434204101562,3.2004806995391846,PASS,SUCCESS,data\processed\rainfall\2007.nc,,2026-08-31T09:44:06.316199Z
max_temp,2007,Maxtemp_MaxT_2007.GRD,True,1403060,1403060,365,31x31,129896,220869,1.340000033378601,46.08000183105469,30.76352310180664,PASS,SUCCESS,data\processed\max_temperature\2007.nc,,2026-08-31T09:44:06.624986Z
min_temp,2007,Mintemp_MinT_2007.GRD,True,1403060,1403060,365,31x31,129896,220869,-7.579999923706055,32.61000061035156,18.88540267944336,PASS,SUCCESS,data\processed\min_temperature\2007.nc,,2026-08-31T09:44:06.689134Z
rainfall,2008,ind2008_rfp25.grd,True,25495560,25495560,366,129x135,1816824,4557066,0.0,513.566650390625,3.1413536071777344,PASS,SUCCESS,data\processed\rainfall\2008.nc,,2026-08-31T09:44:06.732236Z
max_temp,2008,Maxtemp_MaxT_2008.GRD,True,1406904,1406904,366,31x31,129800,221926,-1.190000057220459,44.400001525878906,30.633281707763672,PASS,SUCCESS,data\processed\max_temperature\2008.nc,,2026-08-31T09:44:06.999035Z
min_temp,2008,Mintemp_MinT_2008.GRD,True,1406904,1406904,366,31x31,129800,221926,-11.449999809265137,29.530000686645508,18.758953094482422,PASS,SUCCESS,data\processed\min_temperature\2008.nc,,2026-08-31T09:44:07.048523Z
rainfall,2009,ind2009_rfp25.grd,True,25425900,25425900,365,129x135,1811860,4544615,0.0,503.5693664550781,2.739680290222168,PASS,SUCCESS,data\processed\rainfall\2009.nc,,2026-08-31T09:44:07.116920Z
max_temp,2009,Maxtemp_MaxT_2009.GRD,True,1403060,1403060,365,31x31,127866,222899,5.739999771118164,45.88999938964844,31.54977035522461,PASS,SUCCESS,data\processed\max_temperature\2009.nc,,2026-08-31T09:44:07.408375Z
min_temp,2009,Mintemp_MinT_2009.GRD,True,1403060,1403060,365,31x31,127866,222899,-3.9600000381469727,31.850000381469727,19.357803344726562,PASS,SUCCESS,data\processed\min_temperature\2009.nc,,2026-08-31T09:44:07.485107Z
rainfall,2010,ind2010_rfp25.grd,True,25425900,25425900,365,129x135,1811860,4544615,0.0,494.7169494628906,3.4056758880615234,PASS,SUCCESS,data\processed\rainfall\2010.nc,,2026-08-31T09:44:07.548527Z
max_temp,2010,Maxtemp_MaxT_2010.GRD,True,1403060,1403060,365,31x31,128551,222214,4.059999942779541,47.33000183105469,31.295719146728516,PASS,SUCCESS,data\processed\max_temperature\2010.nc,,2026-08-31T09:44:07.852738Z
min_temp,2010,Mintemp_MinT_2010.GRD,True,1403060,1403060,365,31x31,128635,222130,-5.159999847412109,33.20000076293945,19.47989273071289,PASS,SUCCESS,data\processed\min_temperature\2010.nc,,2026-08-31T09:44:07.894834Z
rainfall,2011,ind2011_rfp25.grd,True,25425900,25425900,365,129x135,1811860,4544615,0.0,447.2681884765625,3.13053822517395,PASS,SUCCESS,data\processed\rainfall\2011.nc,,2026-08-31T09:44:07.936492Z
max_temp,2011,Maxtemp_MaxT_2011.GRD,True,1403060,1403060,365,31x31,129190,221575,5.590000152587891,47.599998474121094,30.820343017578125,PASS,SUCCESS,data\processed\max_temperature\2011.nc,,2026-08-31T09:44:08.223089Z
min_temp,2011,Mintemp_MinT_2011.GRD,True,1403060,1403060,365,31x31,129242,221523,-5.71999979019165,31.610000610351562,18.712968826293945,PASS,SUCCESS,data\processed\min_temperature\2011.nc,,2026-08-31T09:44:08.277296Z
rainfall,2012,ind2012_rfp25.grd,True,25495560,25495560,366,129x135,1816824,4557066,0.0,349.6087951660156,2.9103305339813232,PASS,SUCCESS,data\processed\rainfall\2012.nc,,2026-08-31T09:44:08.333786Z
max_temp,2012,Maxtemp_MaxT_2012.GRD,True,1406904,1406904,366,31x31,129747,221979,2.5399999618530273,46.939998626708984,30.862138748168945,PASS,SUCCESS,data\processed\max_temperature\2012.nc,,2026-08-31T09:44:08.595960Z
min_temp,2012,Mintemp_MinT_2012.GRD,True,1406904,1406904,366,31x31,129779,221947,-8.819999694824219,32.119998931884766,18.626407623291016,PASS,SUCCESS,data\processed\min_temperature\2012.nc,,2026-08-31T09:44:08.644797Z
rainfall,2013,ind2013_rfp25.grd,True,25425900,25425900,365,129x135,1811860,4544615,0.0,478.3231506347656,3.376765012741089,PASS,SUCCESS,data\processed\rainfall\2013.nc,,2026-08-31T09:44:08.678816Z
max_temp,2013,Maxtemp_MaxT_2013.GRD,True,1403060,1403060,365,31x31,129101,221664,4.059999942779541,46.54999923706055,30.619367599487305,PASS,SUCCESS,data\processed\max_temperature\2013.nc,,2026-08-31T09:44:08.927496Z
min_temp,2013,Mintemp_MinT_2013.GRD,True,1403060,1403060,365,31x31,129273,221492,-5.71999979019165,31.5,18.86542510986328,PASS,SUCCESS,data\processed\min_temperature\2013.nc,,2026-08-31T09:44:08.963862Z
rainfall,2014,ind2014_rfp25.grd,True,25425900,25425900,365,129x135,1811860,4544615,0.0,711.0648193359375,2.8255109786987305,PASS,SUCCESS,data\processed\rainfall\2014.nc,,2026-08-31T09:44:08.991275Z
max_temp,2014,Maxtemp_MaxT_2014.GRD,True,1403060,1403060,365,31x31,129497,221268,4.173009872436523,47.45246505737305,30.789653778076172,PASS,SUCCESS,data\processed\max_temperature\2014.nc,,2026-08-31T09:44:09.256630Z
min_temp,2014,Mintemp_MinT_2014.GRD,True,1403060,1403060,365,31x31,129547,221218,-5.070496559143066,31.975210189819336,18.79916763305664,PASS,SUCCESS,data\processed\min_temperature\2014.nc,,2026-08-31T09:44:09.317586Z
rainfall,2015,ind2015_rfp25.grd,True,25425900,25425900,365,129x135,1811860,4544615,0.0,679.2213134765625,2.945695400238037,PASS,SUCCESS,data\processed\rainfall\2015.nc,,2026-08-31T09:44:09.366298Z
max_temp,2015,Maxtemp_MaxT_2015.GRD,True,1403060,1403060,365,31x31,129360,221405,4.194188117980957,46.87416076660156,30.97444725036621,PASS,SUCCESS,data\processed\max_temperature\2015.nc,,2026-08-31T09:44:09.627848Z
min_temp,2015,Mintemp_MinT_2015.GRD,True,1403060,1403060,365,31x31,129500,221265,-4.422795295715332,31.308635711669922,19.152978897094727,PASS,SUCCESS,data\processed\min_temperature\2015.nc,,2026-08-31T09:44:09.678742Z
rainfall,2016,ind2016_rfp25.grd,True,25495560,25495560,366,129x135,1816824,4557066,0.0,673.70849609375,3.002500295639038,PASS,SUCCESS,data\processed\rainfall\2016.nc,,2026-08-31T09:44:09.713146Z
max_temp,2016,Maxtemp_MaxT_2016.GRD,True,1406904,1406904,366,31x31,129821,221905,6.71941614151001,48.770992279052734,31.46467399597168,PASS,SUCCESS,data\processed\max_temperature\2016.nc,,2026-08-31T09:44:09.984708Z
