model,horizon,mae,rmse,bias,rainy_mae,rainy_rmse,rainy_bias,pr_auc,precision,recall,f1,ext_pr_auc,ext_precision,ext_recall,ext_f1
Climatology,1,4.049665451049805,10.744882119421037,-0.4269827604293823,9.711295127868652,18.695236594862624,-4.795985698699951,0.6609923737166866,0.37578177000992385,0.9644593886254795,0.5408373766544883,0.2226661614669037,0.34969888941029253,0.11547761632505481,0.17362181315147618
Persistence,1,4.022307872772217,12.037236614257326,-0.0005350959254428744,11.097853660583496,20.585560213573025,-1.9387975931167603,0.6458336765073407,0.6868744578634817,0.6867533535059922,0.6868139003462219,0.29387058153225476,0.3432860399485951,0.3432206536091194,0.3432533436649958
RecentHistory,1,4.142907619476318,10.852439191323175,-0.0038142353296279907,9.998017311096191,18.469236622449117,-3.440084218978882,0.6564960152328053,0.4721208638925158,0.9269906602177694,0.6256136466328025,0.2528534840514733,0.3191357682573112,0.22307163357083132,0.2625937488717833
Climatology,2,4.05023193359375,10.746587522166376,-0.42751753330230713,9.71156120300293,18.696797077233995,-4.796772480010986,0.6609713835019491,0.37584420021110226,0.9644524459378095,0.5409009404398138,0.22264958661666936,0.34969888941029253,0.11545897930001582,0.17360074740047804
Persistence,2,4.661621570587158,13.690409869236762,-0.0010698809055611491,12.054473876953125,22.53816140421445,-3.0530881881713867,0.5530831816667737,0.6185181919568388,0.6183019669102648,0.6184100605329581,0.1840160029651272,0.24513881264974266,0.24505256498400618,0.24509568122936862
RecentHistory,2,4.332656383514404,11.289003365437681,-0.004349010530859232,10.327248573303223,19.135517494574227,-3.7250592708587646,0.6235709477525286,0.4604703525368773,0.9039586548041815,0.6101397115084876,0.21535073276520958,0.27916643573685085,0.19510211196002672,0.2296840533284694
Climatology,3,4.050277233123779,10.746702531260933,-0.4274655282497406,9.712174415588379,18.697692337036376,-4.7972259521484375,0.6609469555568666,0.3758112444915211,0.9644402488378534,0.5408648928315611,0.22264802822760132,0.34969888941029253,0.1154574885978871,0.17359906236122874
Persistence,3,4.883998870849609,14.207177854447048,-0.0010178196243941784,12.227449417114258,22.94040023388051,-3.6016576290130615,0.515249130391805,0.590134664328132,0.5899726326008559,0.5900536373408102,0.15407618627608244,0.21236817803150165,0.21229071918040354,0.21232944154160796
RecentHistory,3,4.406346797943115,11.454403252978128,-0.004296968225389719,10.433011054992676,19.373031023943764,-3.8589656352996826,0.6087264948357067,0.4551150125472646,0.8935125267643634,0.6030589662095522,0.20186744298886436,0.2649827264497774,0.18518709794035718,0.2180127563282902
Climatology,4,4.050415515899658,10.746874332677539,-0.42774930596351624,9.711372375488281,18.69657917250924,-4.797148704528809,0.6609535158730393,0.3758718180324414,0.9644463500400473,0.5409285819136929,0.22263565268849347,0.34969888941029253,0.11544183854924754,0.17358137142385738
