year,split,rows,file_path,file_size_mb,processing_time_s,peak_memory_mb,feature_count,target_count,validation_status,generation_timestamp
2000,train,1816824,data/ml/train/2000.parquet,26.69,3.26,10149.27,13,7,PASS,2026-09-01T07:48:02.447019+00:00
2001,train,1811860,data/ml/train/2001.parquet,27.96,2.68,7198.53,13,7,PASS,2026-09-01T07:48:05.134609+00:00
2002,train,1811860,data/ml/train/2002.parquet,25.58,2.69,7527.85,13,7,PASS,2026-09-01T07:48:07.836939+00:00
2003,train,1811860,data/ml/train/2003.parquet,28.52,2.55,7752.04,13,7,PASS,2026-09-01T07:48:10.390808+00:00
2004,train,1816824,data/ml/train/2004.parquet,26.48,2.34,7985.73,13,7,PASS,2026-09-01T07:48:12.729756+00:00
2005,train,1811860,data/ml/train/2005.parquet,28.76,2.28,8070.62,13,7,PASS,2026-09-01T07:48:15.004858+00:00
2006,train,1811860,data/ml/train/2006.parquet,27.34,2.1,8300.61,13,7,PASS,2026-09-01T07:48:17.113703+00:00
2007,train,1811860,data/ml/train/2007.parquet,27.38,2.23,8530.48,13,7,PASS,2026-09-01T07:48:19.346085+00:00
2008,train,1816824,data/ml/train/2008.parquet,29.2,2.15,8742.11,13,7,PASS,2026-09-01T07:48:21.509494+00:00
2009,train,1811860,data/ml/train/2009.parquet,26.22,2.59,8872.64,13,7,PASS,2026-09-01T07:48:24.100244+00:00
2010,train,1811860,data/ml/train/2010.parquet,29.1,2.92,7978.83,13,7,PASS,2026-09-01T07:48:27.022137+00:00
2011,train,1811860,data/ml/train/2011.parquet,27.9,2.72,8335.9,13,7,PASS,2026-09-01T07:48:29.750434+00:00
2012,train,1816824,data/ml/train/2012.parquet,26.01,2.63,8667.86,13,7,PASS,2026-09-01T07:48:32.376743+00:00
2013,train,1811860,data/ml/train/2013.parquet,28.37,2.71,8767.64,13,7,PASS,2026-09-01T07:48:35.103268+00:00
2014,train,1811860,data/ml/train/2014.parquet,26.56,2.92,8016.89,13,7,PASS,2026-09-01T07:48:38.037533+00:00
2015,train,1811860,data/ml/train/2015.parquet,26.89,2.62,8410.87,13,7,PASS,2026-09-01T07:48:40.663514+00:00
2016,train,1816824,data/ml/train/2016.parquet,26.45,2.59,8501.21,13,7,PASS,2026-09-01T07:48:43.252936+00:00
2017,train,1811860,data/ml/train/2017.parquet,27.26,2.98,7879.27,13,7,PASS,2026-09-01T07:48:46.232239+00:00
2018,train,1811860,data/ml/train/2018.parquet,25.23,2.84,8023.95,13,7,PASS,2026-09-01T07:48:49.089289+00:00
2019,validation,1811860,data/ml/validation/2019.parquet,29.39,2.99,8223.93,13,7,PASS,2026-09-01T07:48:52.078821+00:00
2020,validation,1816824,data/ml/validation/2020.parquet,30.52,2.88,8576.8,13,7,PASS,2026-09-01T07:48:54.956209+00:00
2021,validation,1811860,data/ml/validation/2021.parquet,30.13,2.84,8671.93,13,7,PASS,2026-09-01T07:48:57.813640+00:00
2022,test,1811860,data/ml/test/2022.parquet,28.68,3.37,7954.84,13,7,PASS,2026-09-01T07:49:01.185728+00:00
2023,test,1811860,data/ml/test/2023.parquet,29.65,3.1,7363.02,13,7,PASS,2026-09-01T07:49:04.286462+00:00
2024,test,1816824,data/ml/test/2024.parquet,28.48,3.01,7658.73,13,7,PASS,2026-09-01T07:49:07.294191+00:00
2025,test,1811860,data/ml/test/2025.parquet,29.58,3.13,7898.16,13,7,PASS,2026-09-01T07:49:10.425061+00:00
